Id,number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
3861,3.0,3,3,1974.0,4.0,58.0,3,37000000.0
3862,2.0,3,2,2022.0,9.0,74.0,3,100000000.0
3863,1.0,6,2,2012.0,9.0,64.0,3,28000000.0
3864,1.0,2,3,1988.0,3.0,40.0,3,28500000.0
3865,1.0,2,1,1976.0,4.0,27.0,3,14500000.0
3866,2.0,3,2,2023.0,2.0,58.0,4,38000000.0
3867,1.0,4,3,1989.0,4.0,33.0,3,18500000.0
3868,3.0,3,3,1975.0,1.0,62.0,3,39000000.0
3869,1.0,3,3,1976.0,2.0,31.0,3,22500000.0
3870,2.0,6,2,2023.0,3.0,56.0,4,52900000.0
3871,2.0,6,2,2022.0,10.0,60.0,3,32500000.0
3872,2.0,3,2,2023.0,2.0,55.0,3,63000000.0
3873,2.0,0,2,2020.0,4.0,58.0,3,36500000.0
3874,6.0,3,2,2016.0,3.0,315.0,3,591500000.0
3875,3.0,0,2,2018.0,2.0,93.0,3,56999999.0
3876,1.0,2,3,1994.0,2.0,42.0,3,29890000.0
3877,1.0,5,1,1962.0,4.0,31.6,3,30500000.0
3878,2.0,1,2,2000.0,10.0,80.1,3,35000000.0
3879,2.0,3,2,2022.0,1.0,67.7,3,91000000.0
3880,1.0,1,2,2022.0,8.0,35.0,3,38900000.0
3881,3.0,5,2,2017.0,4.0,125.5,3,138050000.0
3882,3.0,3,1,1961.0,3.0,53.0,1,37500000.0
3883,1.0,3,3,1975.0,5.0,30.5,3,30000000.0
3884,1.0,1,3,1975.0,3.0,15.0,3,9400000.0
3885,1.0,2,3,1966.0,3.0,14.0,1,10500000.0
3886,1.0,6,2,2022.0,10.0,41.9,4,22000000.0
3887,3.0,7,3,1993.0,5.0,76.0,2,35000000.0
3888,3.0,6,2,2022.0,6.0,75.0,3,45000000.0
3889,2.0,5,2,2022.0,10.0,87.0,0,57000000.0
3890,1.0,3,3,1976.0,4.0,31.5,1,23500000.0
3891,3.0,5,2,2022.0,7.0,62.0,3,40000000.0
3892,2.0,3,2,2015.0,2.0,71.0,3,56500000.0
3893,3.0,1,2,2011.0,19.0,142.0,3,68500000.0
3894,2.0,5,1,1963.0,4.0,41.2,3,33000000.0
3895,2.0,2,3,1985.0,1.0,52.0,1,35000000.0
3896,1.0,1,2,2007.0,6.0,45.0,3,33500000.0
3897,2.0,2,2,2018.0,1.0,53.0,3,40000000.0
3898,2.0,2,2,2019.0,1.0,69.0,3,49000000.0
3899,3.0,0,2,2015.0,1.0,90.0,3,52000000.0
3900,3.0,4,3,1989.0,3.0,70.0,3,36500000.0
3901,4.0,4,3,1988.0,3.0,82.0,3,53000000.0
3902,2.0,4,1,1980.0,3.0,42.0,3,23000000.0
3903,3.0,5,2,2018.0,6.0,88.0,0,65000000.0
3904,1.0,6,3,2018.0,8.0,40.7,3,22000000.0
3905,1.0,3,2,2022.0,20.0,46.6,0,41000000.0
3906,3.0,2,1,1970.0,1.0,64.0,1,31000000.0
3907,2.0,5,3,1976.0,5.0,45.0,1,19800000.0
3908,3.0,1,2,2011.0,8.0,140.0,3,122000001.0
3909,2.0,3,2,2018.0,1.0,53.0,3,49000000.0
3910,1.0,6,2,2023.0,6.0,31.6,4,14300000.0
3911,3.0,3,2,2012.0,9.0,80.0,3,61000000.0
3912,2.0,5,2,2023.0,7.0,66.7,4,31000000.0
3913,2.0,3,2,2015.0,5.0,50.4,3,48000000.0
3914,2.0,2,3,1985.0,1.0,55.0,3,34000000.0
3915,1.0,6,2,2019.0,1.0,40.0,3,23000000.0
3916,2.0,5,1,1973.0,5.0,61.0,3,57000000.0
3917,2.0,1,3,1978.0,4.0,36.6,3,16500000.0
3918,3.0,3,2,2021.0,9.0,100.0,3,119999990.0
3919,2.0,2,3,1970.0,3.0,44.0,1,28000000.0
3920,3.0,1,3,1976.0,3.0,65.5,3,41000000.0
3921,2.0,3,2,2019.0,11.0,44.5,3,45000000.0
3922,3.0,3,2,2023.0,2.0,80.0,4,70000000.0
3923,4.0,5,2,2018.0,1.0,125.0,3,113000000.0
3924,2.0,1,1,1985.0,5.0,56.0,3,52000000.0
3925,2.0,5,2,2019.0,3.0,61.0,3,33500000.0
3926,2.0,3,2,2017.0,3.0,65.0,3,48000000.0
3927,1.0,2,3,1982.0,1.0,40.0,3,24500000.0
3928,3.0,7,2,2017.0,1.0,75.8,3,38000000.0
3929,4.0,5,2,2004.0,5.0,186.6,3,187000000.0
3930,3.0,3,3,1974.0,4.0,60.0,3,36500000.0
3931,3.0,3,2,2021.0,3.0,64.0,3,72000000.0
3932,2.0,2,3,1963.0,1.0,42.6,3,25000000.0
3933,2.0,2,2,2001.0,6.0,54.0,1,26000000.0
3934,4.0,5,2,2011.0,10.0,172.0,3,160000000.0
3935,3.0,3,2,2016.0,12.0,74.9,3,66000000.0
3936,3.0,6,2,2019.0,12.0,83.1,3,45500000.0
3937,3.0,5,2,2017.0,1.0,135.0,3,175400000.0
3938,3.0,3,2,2018.0,9.0,74.0,3,66000000.0
3939,3.0,6,2,2008.0,5.0,129.0,3,93000000.0
3940,3.0,5,2,2011.0,5.0,120.0,3,135000000.0
3941,2.0,3,3,1980.0,5.0,51.0,3,39500000.0
3942,2.0,6,2,2020.0,5.0,60.0,3,35500000.0
3943,2.0,3,1,1961.0,2.0,35.0,3,24500000.0
3944,3.0,2,3,1988.0,3.0,82.0,3,49000000.0
3945,6.0,5,2,2022.0,3.0,307.3,0,255000000.0
3946,1.0,2,3,1975.0,2.0,24.0,3,13200000.0
3947,1.0,2,2,2007.0,7.0,48.0,3,28000000.0
3948,1.0,0,2,2017.0,3.0,31.0,3,21000000.0
3949,3.0,1,3,1978.0,2.0,65.6,3,42000000.0
3950,1.0,0,2,2014.0,8.0,45.8,3,25000000.0
3951,2.0,2,3,1971.0,4.0,43.0,3,26000000.0
3952,4.0,1,2,2019.0,6.0,120.0,3,90000000.0
3953,2.0,0,2,2012.0,4.0,63.0,3,31333333.0
3954,2.0,3,2,2022.0,12.0,56.0,3,46000000.0
3955,2.0,3,1,1963.0,4.0,40.0,3,26000000.0
3956,6.0,5,2,2016.0,1.0,450.0,3,280000000.0
3957,2.0,1,1,1972.0,4.0,55.0,3,42990000.0
3958,2.0,5,0,2024.0,4.0,107.4,0,68720000.0
3959,2.0,1,2,2019.0,2.0,54.0,3,46500000.0
3960,2.0,3,1,1974.0,1.0,47.6,1,33000000.0
3961,2.0,3,2,2022.0,8.0,46.5,4,52500000.0
3962,3.0,2,2,2012.0,6.0,127.0,3,100000000.0
3963,3.0,3,1,1970.0,4.0,85.8,3,58000000.0
3964,3.0,3,2,2022.0,6.0,75.0,3,69000000.0
3965,3.0,2,3,1968.0,4.0,60.0,3,45500000.0
3966,2.0,3,1,2006.0,4.0,88.9,3,70000000.0
3967,2.0,3,3,1977.0,5.0,55.0,3,38200000.0
3968,3.0,1,2,1993.0,7.0,78.0,3,56000000.0
3969,3.0,3,2,2009.0,6.0,94.0,1,77000000.0
3970,1.0,2,1,1975.0,3.0,18.0,3,15000000.0
3971,3.0,2,2,2023.0,2.0,101.9,4,64000000.0
3972,2.0,1,2,2022.0,9.0,55.0,3,61000000.0
3973,3.0,1,3,1978.0,1.0,55.0,1,34000000.0
3974,3.0,0,2,2020.0,3.0,75.2,3,43500000.0
3975,3.0,3,3,1976.0,5.0,66.0,3,39780000.0
3976,3.0,7,2,2021.0,2.0,92.0,3,52500000.0
3977,3.0,3,2,2022.0,13.0,114.0,3,159000000.0
3978,2.0,0,2,2013.0,4.0,63.1,3,36000000.0
3979,3.0,3,1,1962.0,3.0,54.0,3,38000000.0
3980,3.0,1,3,1980.0,3.0,59.0,3,35000000.0
3981,1.0,0,2,2023.0,5.0,43.5,4,20000000.0
3982,2.0,0,2,2015.0,1.0,65.7,3,29000000.0
3983,3.0,3,3,1992.0,5.0,65.0,3,50000000.0
3984,2.0,1,3,1985.0,5.0,52.0,1,26500000.0
3985,1.0,6,2,2022.0,4.0,30.0,2,14350000.0
3986,2.0,7,2,2023.0,1.0,68.5,3,29000000.0
3987,3.0,3,3,1989.0,1.0,70.0,3,45000000.0
3988,3.0,3,2,2023.0,10.0,85.0,4,54999900.0
3989,3.0,3,3,1991.0,8.0,70.0,3,61000000.0
3990,2.0,5,2,2022.0,2.0,55.0,3,37000000.0
